dataset_id,program,label,n_cells,genes_present,genes_missing,mean_score,fraction_detected,score_definition,z_score
paul15,erythroid,1Ery,43,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,1.6775760650634766,0.9186046511627907,mean log1p expression of marker genes present in the source expression matrix,3.041754203701202
paul15,erythroid,2Ery,329,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.9952466487884521,0.6770516717325228,mean log1p expression of marker genes present in the source expression matrix,1.5066870903514598
paul15,erythroid,3Ery,246,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.9021866917610168,0.6056910569105691,mean log1p expression of marker genes present in the source expression matrix,1.29732592813978
paul15,erythroid,4Ery,124,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.7760542631149292,0.5282258064516129,mean log1p expression of marker genes present in the source expression matrix,1.0135601421085068
paul15,erythroid,5Ery,180,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.5973842144012451,0.4444444444444444,mean log1p expression of marker genes present in the source expression matrix,0.6115981141216853
paul15,erythroid,6Ery,173,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.33192652463912964,0.3179190751445087,mean log1p expression of marker genes present in the source expression matrix,0.014386034706697526
paul15,erythroid,7MEP,167,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.15351717174053192,0.18113772455089822,mean log1p expression of marker genes present in the source expression matrix,-0.3869894942038981
paul15,erythroid,8Mk,68,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.08645179867744446,0.11029411764705882,mean log1p expression of marker genes present in the source expression matrix,-0.537869474134562
paul15,erythroid,9GMP,63,Gata1;Klf1;Hba-a2;Hbb-b1,Hba-a1;Hbb-b2,0.05319588631391525,0.06746031746031746,mean log1p expression of marker genes present in the source expression matrix,-0.6126867928314276
paul15,myeloid_monocyte,10GMP,153,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.5032104253768921,0.2777777777777778,mean log1p expression of marker genes present in the source expression matrix,-0.20724024329332535
paul15,myeloid_monocyte,11DC,30,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.30072468519210815,0.21666666666666667,mean log1p expression of marker genes present in the source expression matrix,-0.8922327124715751
paul15,myeloid_monocyte,12Baso,69,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.47743484377861023,0.2463768115942029,mean log1p expression of marker genes present in the source expression matrix,-0.294436898561
paul15,myeloid_monocyte,13Baso,300,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.9775761961936951,0.37333333333333335,mean log1p expression of marker genes present in the source expression matrix,1.3974998255575253
paul15,myeloid_monocyte,14Mo,373,S100a8;S100a9;Csf1r;Mpo,Lyz2,1.1060893535614014,0.37131367292225204,mean log1p expression of marker genes present in the source expression matrix,1.8322491807805816
paul15,myeloid_monocyte,15Mo,186,S100a8;S100a9;Csf1r;Mpo,Lyz2,1.1397984027862549,0.32661290322580644,mean log1p expression of marker genes present in the source expression matrix,1.9462840991956352
paul15,myeloid_monocyte,16Neu,164,S100a8;S100a9;Csf1r;Mpo,Lyz2,1.1469862461090088,0.31402439024390244,mean log1p expression of marker genes present in the source expression matrix,1.9705999771494427
paul15,myeloid_monocyte,17Neu,22,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.5518496036529541,0.25,mean log1p expression of marker genes present in the source expression matrix,-0.042697936285849024
paul15,myeloid_monocyte,18Eos,9,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.6857923269271851,0.25,mean log1p expression of marker genes present in the source expression matrix,0.4104191901860977
paul15,myeloid_monocyte,19Lymph,31,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.2149474024772644,0.18548387096774194,mean log1p expression of marker genes present in the source expression matrix,-1.1824101473498114
paul15,myeloid_monocyte,1Ery,43,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.45561447739601135,0.2616279069767442,mean log1p expression of marker genes present in the source expression matrix,-0.36825338871556784
paul15,myeloid_monocyte,2Ery,329,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.44792577624320984,0.24164133738601823,mean log1p expression of marker genes present in the source expression matrix,-0.3942636271779153
paul15,myeloid_monocyte,3Ery,246,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.5244415998458862,0.25609756097560976,mean log1p expression of marker genes present in the source expression matrix,-0.13541694052741837
paul15,myeloid_monocyte,4Ery,124,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.4833005368709564,0.25201612903225806,mean log1p expression of marker genes present in the source expression matrix,-0.27459374520560165
paul15,myeloid_monocyte,5Ery,180,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.37811771035194397,0.24166666666666667,mean log1p expression of marker genes present in the source expression matrix,-0.6304185256896749
paul15,myeloid_monocyte,6Ery,173,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.33179327845573425,0.23410404624277456,mean log1p expression of marker genes present in the source expression matrix,-0.7871302376300148
paul15,myeloid_monocyte,7MEP,167,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.24265344440937042,0.19610778443113772,mean log1p expression of marker genes present in the source expression matrix,-1.0886829048441904
paul15,myeloid_monocyte,8Mk,68,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.29887130856513977,0.22058823529411764,mean log1p expression of marker genes present in the source expression matrix,-0.898502531920914
paul15,myeloid_monocyte,9GMP,63,S100a8;S100a9;Csf1r;Mpo,Lyz2,0.4578258693218231,0.25,mean log1p expression of marker genes present in the source expression matrix,-0.36077243319642716
paul15,basophil_mast,10GMP,153,Mcpt8;Prss34;Cpa3,,0.009060747921466827,0.013071895424836602,mean log1p expression of marker genes present in the source expression matrix,-0.31318521369745483
paul15,basophil_mast,11DC,30,Mcpt8;Prss34;Cpa3,,0.0077016353607177734,0.01111111111111111,mean log1p expression of marker genes present in the source expression matrix,-0.3193006005800593
paul15,basophil_mast,12Baso,69,Mcpt8;Prss34;Cpa3,,0.07676459103822708,0.08695652173913043,mean log1p expression of marker genes present in the source expression matrix,-0.008548786917645997
paul15,basophil_mast,13Baso,300,Mcpt8;Prss34;Cpa3,,0.021506672725081444,0.027777777777777773,mean log1p expression of marker genes present in the source expression matrix,-0.2571842263738156
paul15,basophil_mast,14Mo,373,Mcpt8;Prss34;Cpa3,,0.01649514213204384,0.01876675603217158,mean log1p expression of marker genes present in the source expression matrix,-0.2797338292069631
paul15,basophil_mast,15Mo,186,Mcpt8;Prss34;Cpa3,,0.020601829513907433,0.02867383512544803,mean log1p expression of marker genes present in the source expression matrix,-0.26125560829186484
paul15,basophil_mast,16Neu,164,Mcpt8;Prss34;Cpa3,,0.01127068605273962,0.016260162601626015,mean log1p expression of marker genes present in the source expression matrix,-0.30324149965223646
paul15,basophil_mast,17Neu,22,Mcpt8;Prss34;Cpa3,,0.9847635626792908,0.5151515151515151,mean log1p expression of marker genes present in the source expression matrix,4.0770326144725395
paul15,basophil_mast,18Eos,9,Mcpt8;Prss34;Cpa3,,0.2800029516220093,0.25925925925925924,mean log1p expression of marker genes present in the source expression matrix,0.9059311761481852
paul15,basophil_mast,19Lymph,31,Mcpt8;Prss34;Cpa3,,0.007453195285052061,0.01075268817204301,mean log1p expression of marker genes present in the source expression matrix,-0.3204184676528219
paul15,basophil_mast,1Ery,43,Mcpt8;Prss34;Cpa3,,0.010746467858552933,0.015503875968992248,mean log1p expression of marker genes present in the source expression matrix,-0.30560024252676704
paul15,basophil_mast,2Ery,329,Mcpt8;Prss34;Cpa3,,0.005618214141577482,0.008105369807497466,mean log1p expression of marker genes present in the source expression matrix,-0.3286750462017291
paul15,basophil_mast,3Ery,246,Mcpt8;Prss34;Cpa3,,0.00563534302636981,0.008130081300813009,mean log1p expression of marker genes present in the source expression matrix,-0.3285979740294913
paul15,basophil_mast,4Ery,124,Mcpt8;Prss34;Cpa3,,0.011179793626070023,0.016129032258064516,mean log1p expression of marker genes present in the source expression matrix,-0.30365047413296453
paul15,basophil_mast,5Ery,180,Mcpt8;Prss34;Cpa3,,0.005134423729032278,0.007407407407407407,mean log1p expression of marker genes present in the source expression matrix,-0.33085188249053377
paul15,basophil_mast,6Ery,173,Mcpt8;Prss34;Cpa3,,0.0066777183674275875,0.009633911368015413,mean log1p expression of marker genes present in the source expression matrix,-0.3239077602300236
paul15,basophil_mast,7MEP,167,Mcpt8;Prss34;Cpa3,,0.010615009814500809,0.007984031936127744,mean log1p expression of marker genes present in the source expression matrix,-0.3061917437912143
paul15,basophil_mast,8Mk,68,Mcpt8;Prss34;Cpa3,,0.0033977802377194166,0.004901960784313725,mean log1p expression of marker genes present in the source expression matrix,-0.33866598643839363
paul15,basophil_mast,9GMP,63,Mcpt8;Prss34;Cpa3,,0.0,0.0,mean log1p expression of marker genes present in the source expression matrix,-0.3539544484067461
paul15,megakaryocyte,10GMP,153,Pf4;Itga2b,Ppbp,0.06530919671058655,0.0718954248366013,mean log1p expression of marker genes present in the source expression matrix,-0.13065330879088938
paul15,megakaryocyte,11DC,30,Pf4;Itga2b,Ppbp,0.0,0.0,mean log1p expression of marker genes present in the source expression matrix,-0.49902187741250953
paul15,megakaryocyte,12Baso,69,Pf4;Itga2b,Ppbp,0.1088029071688652,0.13043478260869565,mean log1p expression of marker genes present in the source expression matrix,0.1146676670061104
paul15,megakaryocyte,13Baso,300,Pf4;Itga2b,Ppbp,0.013383474200963974,0.018333333333333333,mean log1p expression of marker genes present in the source expression matrix,-0.42353402144575064
paul15,megakaryocyte,14Mo,373,Pf4;Itga2b,Ppbp,0.018355287611484528,0.024128686327077747,mean log1p expression of marker genes present in the source expression matrix,-0.39549111352876576
paul15,megakaryocyte,15Mo,186,Pf4;Itga2b,Ppbp,0.021902868524193764,0.026881720430107527,mean log1p expression of marker genes present in the source expression matrix,-0.3754814155275002
paul15,megakaryocyte,16Neu,164,Pf4;Itga2b,Ppbp,0.02236871048808098,0.03048780487804878,mean log1p expression of marker genes present in the source expression matrix,-0.3728538906751971
paul15,megakaryocyte,17Neu,22,Pf4;Itga2b,Ppbp,0.16942545771598816,0.18181818181818182,mean log1p expression of marker genes present in the source expression matrix,0.4566017788310626
paul15,megakaryocyte,18Eos,9,Pf4;Itga2b,Ppbp,0.17655855417251587,0.2222222222222222,mean log1p expression of marker genes present in the source expression matrix,0.49683514049948335
paul15,megakaryocyte,19Lymph,31,Pf4;Itga2b,Ppbp,0.022359587252140045,0.03225806451612903,mean log1p expression of marker genes present in the source expression matrix,-0.37290534917620505
paul15,megakaryocyte,1Ery,43,Pf4;Itga2b,Ppbp,0.024179553613066673,0.03488372093023256,mean log1p expression of marker genes present in the source expression matrix,-0.3626400506105994
paul15,megakaryocyte,2Ery,329,Pf4;Itga2b,Ppbp,0.024228548631072044,0.034954407294832825,mean log1p expression of marker genes present in the source expression matrix,-0.36236370017970665
paul15,megakaryocyte,3Ery,246,Pf4;Itga2b,Ppbp,0.02982494607567787,0.04065040650406504,mean log1p expression of marker genes present in the source expression matrix,-0.33079790210010834
paul15,megakaryocyte,4Ery,124,Pf4;Itga2b,Ppbp,0.030744431540369987,0.04435483870967742,mean log1p expression of marker genes present in the source expression matrix,-0.3256116563406024
paul15,megakaryocyte,5Ery,180,Pf4;Itga2b,Ppbp,0.022632963955402374,0.027777777777777776,mean log1p expression of marker genes present in the source expression matrix,-0.3713634011819355
paul15,megakaryocyte,6Ery,173,Pf4;Itga2b,Ppbp,0.03156201168894768,0.04046242774566474,mean log1p expression of marker genes present in the source expression matrix,-0.3210001951033798
paul15,megakaryocyte,7MEP,167,Pf4;Itga2b,Ppbp,0.026117458939552307,0.03592814371257485,mean log1p expression of marker genes present in the source expression matrix,-0.35170953167610436
paul15,megakaryocyte,8Mk,68,Pf4;Itga2b,Ppbp,0.8117857575416565,0.5220588235294118,mean log1p expression of marker genes present in the source expression matrix,4.079756802995975
paul15,megakaryocyte,9GMP,63,Pf4;Itga2b,Ppbp,0.0614476352930069,0.07936507936507936,mean log1p expression of marker genes present in the source expression matrix,-0.15243397558337662
paul15,progenitor,10GMP,153,Kit;Gata2;Meis1;Hlf,,0.11016132682561874,0.1388888888888889,mean log1p expression of marker genes present in the source expression matrix,-0.40767741577943983
paul15,progenitor,11DC,30,Kit;Gata2;Meis1;Hlf,,0.02310490608215332,0.03333333333333333,mean log1p expression of marker genes present in the source expression matrix,-1.512871811939305
paul15,progenitor,12Baso,69,Kit;Gata2;Meis1;Hlf,,0.25282570719718933,0.25,mean log1p expression of marker genes present in the source expression matrix,1.4034684178277195
paul15,progenitor,13Baso,300,Kit;Gata2;Meis1;Hlf,,0.07216127961874008,0.08666666666666667,mean log1p expression of marker genes present in the source expression matrix,-0.8900937484082427
paul15,progenitor,14Mo,373,Kit;Gata2;Meis1;Hlf,,0.06927490234375,0.08981233243967829,mean log1p expression of marker genes present in the source expression matrix,-0.9267367434025168
paul15,progenitor,15Mo,186,Kit;Gata2;Meis1;Hlf,,0.09842008352279663,0.1196236559139785,mean log1p expression of marker genes present in the source expression matrix,-0.5567342709936782
paul15,progenitor,16Neu,164,Kit;Gata2;Meis1;Hlf,,0.055643849074840546,0.07469512195121951,mean log1p expression of marker genes present in the source expression matrix,-1.0997850212653089
paul15,progenitor,17Neu,22,Kit;Gata2;Meis1;Hlf,,0.231705442070961,0.20454545454545456,mean log1p expression of marker genes present in the source expression matrix,1.1353434654855883
paul15,progenitor,18Eos,9,Kit;Gata2;Meis1;Hlf,,0.1958126425743103,0.25,mean log1p expression of marker genes present in the source expression matrix,0.6796789604735838
paul15,progenitor,19Lymph,31,Kit;Gata2;Meis1;Hlf,,0.022359587252140045,0.024193548387096774,mean log1p expression of marker genes present in the source expression matrix,-1.522333746937878
paul15,progenitor,1Ery,43,Kit;Gata2;Meis1;Hlf,,0.049043890088796616,0.06395348837209303,mean log1p expression of marker genes present in the source expression matrix,-1.1835724963759051
paul15,progenitor,2Ery,329,Kit;Gata2;Meis1;Hlf,,0.10757835954427719,0.12689969604863222,mean log1p expression of marker genes present in the source expression matrix,-0.4404685751267214
paul15,progenitor,3Ery,246,Kit;Gata2;Meis1;Hlf,,0.24425965547561646,0.24390243902439024,mean log1p expression of marker genes present in the source expression matrix,1.2947210988011841
paul15,progenitor,4Ery,124,Kit;Gata2;Meis1;Hlf,,0.20382167398929596,0.20766129032258066,mean log1p expression of marker genes present in the source expression matrix,0.7813548226663776
paul15,progenitor,5Ery,180,Kit;Gata2;Meis1;Hlf,,0.16311855614185333,0.18611111111111112,mean log1p expression of marker genes present in the source expression matrix,0.26462260042411617
paul15,progenitor,6Ery,173,Kit;Gata2;Meis1;Hlf,,0.18431155383586884,0.20664739884393063,mean log1p expression of marker genes present in the source expression matrix,0.5336709036879854
paul15,progenitor,7MEP,167,Kit;Gata2;Meis1;Hlf,,0.17573873698711395,0.19011976047904192,mean log1p expression of marker genes present in the source expression matrix,0.4248377003511718
paul15,progenitor,8Mk,68,Kit;Gata2;Meis1;Hlf,,0.2740006148815155,0.27205882352941174,mean log1p expression of marker genes present in the source expression matrix,1.6722870656892141
paul15,progenitor,9GMP,63,Kit;Gata2;Meis1;Hlf,,0.16986650228500366,0.1865079365079365,mean log1p expression of marker genes present in the source expression matrix,0.3502887948220534


