dataset_id,field_role,field,level,n_cells,fraction
heart_cell_atlas_subsampled,label,cell_type,Lymphoid,653,0.0350303095327503
heart_cell_atlas_subsampled,label,cell_type,Smooth_muscle_cells,641,0.0343865672442465
heart_cell_atlas_subsampled,label,cell_type,Neuronal,153,0.0082077141784239
heart_cell_atlas_subsampled,label,cell_type,Adipocytes,145,0.0077785526527546
heart_cell_atlas_subsampled,label,cell_type,Mesothelial,17,0.0009119682420471
heart_cell_atlas_subsampled,batch_or_donor,donor,D6,3009,0.1614183788423367
heart_cell_atlas_subsampled,batch_or_donor,donor,D11,1851,0.0992972480017166
heart_cell_atlas_subsampled,batch_or_donor,donor,D2,1714,0.0919478568746312
heart_cell_atlas_subsampled,batch_or_donor,donor,H5,1514,0.0812188187329006
heart_cell_atlas_subsampled,batch_or_donor,donor,D7,1386,0.074352234322193
heart_cell_atlas_subsampled,batch_or_donor,donor,H7,1192,0.0639450673247143
heart_cell_atlas_subsampled,batch_or_donor,donor,H3,1180,0.0633013250362105
heart_cell_atlas_subsampled,batch_or_donor,donor,D5,1161,0.0622820664127461
heart_cell_atlas_subsampled,batch_or_donor,donor,D4,1144,0.0613700981706989
heart_cell_atlas_subsampled,batch_or_donor,donor,H4,1046,0.056112869481251
heart_cell_atlas_subsampled,batch_or_donor,donor,H6,1027,0.0550936108577866
heart_cell_atlas_subsampled,batch_or_donor,donor,D3,999,0.0535915455179443
heart_cell_atlas_subsampled,batch_or_donor,donor,H2,837,0.0449010246231425
heart_cell_atlas_subsampled,batch_or_donor,donor,D1,581,0.0311678558017273
heart_cell_atlas_subsampled,metadata_context,source,Nuclei,13733,0.7367094040019312
heart_cell_atlas_subsampled,metadata_context,source,CD45+,3155,0.1692505766858001
heart_cell_atlas_subsampled,metadata_context,source,Cells,1753,0.0940400193122686
heart_cell_atlas_subsampled,metadata_context,cell_source,Sanger-Nuclei,6937,0.3721366879459256
heart_cell_atlas_subsampled,metadata_context,cell_source,Harvard-Nuclei,6796,0.3645727160560055
heart_cell_atlas_subsampled,metadata_context,cell_source,Sanger-CD45,3155,0.1692505766858001
heart_cell_atlas_subsampled,metadata_context,cell_source,Sanger-Cells,1753,0.0940400193122686
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7844001,503,0.0269835309264524
heart_cell_atlas_subsampled,metadata_context,sample,H0020_LV,475,0.0254814655866101
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7844004,456,0.0244622069631457
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102862,441,0.0236575291025159
heart_cell_atlas_subsampled,metadata_context,sample,H0015_septum,377,0.0202242368971621
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102861,368,0.0197414301807842
heart_cell_atlas_subsampled,metadata_context,sample,H0015_LV,362,0.0194195590365323
heart_cell_atlas_subsampled,metadata_context,sample,H0015_apex,359,0.0192586234644064
heart_cell_atlas_subsampled,metadata_context,sample,H0025_LV,359,0.0192586234644064
heart_cell_atlas_subsampled,metadata_context,sample,H0035_RV,357,0.0191513330829891
heart_cell_atlas_subsampled,metadata_context,sample,H0037_LV,321,0.0172201062174776
heart_cell_atlas_subsampled,metadata_context,sample,H0035_LA,272,0.0145914918727536
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7843999,267,0.0143232659192103
heart_cell_atlas_subsampled,metadata_context,sample,H0026_LV_V3,267,0.0143232659192103
heart_cell_atlas_subsampled,metadata_context,sample,H0015_RV,251,0.0134649428678718
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7835148,243,0.0130357813422026
heart_cell_atlas_subsampled,metadata_context,sample,H0025_LA,236,0.0126602650072421
heart_cell_atlas_subsampled,metadata_context,sample,H0035_LV,236,0.0126602650072421
heart_cell_atlas_subsampled,metadata_context,sample,H0037_septum,235,0.0126066198165334
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905328,235,0.0126066198165334
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7833855,223,0.0119628775280296
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7829979,215,0.0115337160023603
heart_cell_atlas_subsampled,metadata_context,sample,H0025_septum,211,0.0113191352395257
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7844003,206,0.0110509092859825
heart_cell_atlas_subsampled,metadata_context,sample,H0026_RV,202,0.0108363285231479
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702881,195,0.0104608121881873
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7829978,194,0.0104071669974786
heart_cell_atlas_subsampled,metadata_context,sample,H0025_RV,193,0.01035352180677
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702877,185,0.0099243602811007
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287127,181,0.0097097795182661
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702882,177,0.0094951987554315
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7829976,170,0.009119682420471
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905332,168,0.0090123920390536
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7833854,168,0.0090123920390536
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702876,167,0.008958746848345
heart_cell_atlas_subsampled,metadata_context,sample,H0037_Apex,166,0.0089051016576363
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905327,166,0.0089051016576363
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7664652,166,0.0089051016576363
heart_cell_atlas_subsampled,metadata_context,sample,H0020_septum,165,0.0088514564669277
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7833852,163,0.0087441660855104
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287128,160,0.0085832305133844
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7829977,160,0.0085832305133844
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7880862,158,0.0084759401319671
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7836682,157,0.0084222949412585
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888928,157,0.0084222949412585
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702873,157,0.0084222949412585
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7835149,156,0.0083686497505498
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7698016,152,0.0081540689877152
heart_cell_atlas_subsampled,metadata_context,sample,H0037_RV,151,0.0081004237970065
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7844000,144,0.007724907462046
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850551,142,0.0076176170806287
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888926,140,0.0075103266992114
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702875,137,0.0073493911270854
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702874,137,0.0073493911270854
heart_cell_atlas_subsampled,metadata_context,sample,H0020_apex,136,0.0072957459363768
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7836684,136,0.0072957459363768
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888923,136,0.0072957459363768
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888929,136,0.0072957459363768
heart_cell_atlas_subsampled,metadata_context,sample,H0035_septum,135,0.0072421007456681
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7664654,134,0.0071884555549594
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7698015,131,0.0070275199828335
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702880,130,0.0069738747921248
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656539,128,0.0068665844107075
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7833853,127,0.0068129392199989
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287126,125,0.0067056488385816
heart_cell_atlas_subsampled,metadata_context,sample,H0035_apex,125,0.0067056488385816
heart_cell_atlas_subsampled,metadata_context,sample,H0026_LA,122,0.0065447132664556
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7836683,120,0.0064374228850383
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888927,115,0.006169196931495
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7836681,115,0.006169196931495
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7664653,113,0.0060619065500777
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905331,112,0.0060082613593691
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102858,112,0.0060082613593691
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102868,112,0.0060082613593691
heart_cell_atlas_subsampled,metadata_context,sample,H0026_apex,111,0.0059546161686604
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850546,108,0.0057936805965345
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888922,104,0.0055790998336999
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888925,103,0.0055254546429912
heart_cell_atlas_subsampled,metadata_context,sample,H0015_LA_new,101,0.0054181642615739
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7964513,101,0.0054181642615739
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850549,97,0.0052035834987393
heart_cell_atlas_subsampled,metadata_context,sample,H0037_RA_corr,97,0.0052035834987393
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702878,97,0.0052035834987393
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7880861,92,0.004935357545196
heart_cell_atlas_subsampled,metadata_context,sample,H0025_apex,92,0.004935357545196
heart_cell_atlas_subsampled,metadata_context,sample,H0020_LA_new,92,0.004935357545196
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7702879,91,0.0048817123544874
heart_cell_atlas_subsampled,metadata_context,sample,H0025_RA,89,0.0047744219730701
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7888924,89,0.0047744219730701
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7745968,88,0.0047207767823614
heart_cell_atlas_subsampled,metadata_context,sample,H0026_septum2,85,0.0045598412102355
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102866,81,0.0043452604474008
heart_cell_atlas_subsampled,metadata_context,sample,H0020_RA,80,0.0042916152566922
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656536,79,0.0042379700659835
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7844002,79,0.0042379700659835
heart_cell_atlas_subsampled,metadata_context,sample,H0020_RV,79,0.0042379700659835
heart_cell_atlas_subsampled,metadata_context,sample,H0037_LA_corr,76,0.0040770344938576
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7757639,74,0.0039697441124403
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7985086,70,0.0037551633496057
heart_cell_atlas_subsampled,metadata_context,sample,H0035_RA,67,0.0035942277774797
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850540,67,0.0035942277774797
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102865,65,0.0034869373960624
heart_cell_atlas_subsampled,metadata_context,sample,H0015_RA,64,0.0034332922053537
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102860,62,0.0033260018239364
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7985087,61,0.0032723566332278
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7985088,61,0.0032723566332278
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7985089,60,0.0032187114425191
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850548,54,0.0028968402982672
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905330,52,0.0027895499168499
heart_cell_atlas_subsampled,metadata_context,sample,H0026_RA,50,0.0026822595354326
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7905329,49,0.0026286143447239
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7880860,47,0.0025213239633066
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656538,47,0.0025213239633066
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102859,47,0.0025213239633066
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7745969,46,0.002467678772598
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102867,44,0.0023603883911807
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850547,40,0.0021458076283461
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7745966,35,0.0018775816748028
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7751845,33,0.0017702912933855
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850543,30,0.0016093557212595
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850545,29,0.0015557105305509
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850541,29,0.0015557105305509
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7728606,28,0.0015020653398422
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7698017,28,0.0015020653398422
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7745970,27,0.0014484201491336
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850539,24,0.0012874845770076
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850544,22,0.0011801941955903
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7880863,20,0.001072903814173
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7850542,19,0.0010192586234644
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656535,17,0.0009119682420471
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656534,16,0.0008583230513384
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7757636,16,0.0008583230513384
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287123,15,0.0008046778606297
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7757638,15,0.0008046778606297
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7728607,15,0.0008046778606297
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7757637,10,0.0005364519070865
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7728608,10,0.0005364519070865
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102864,10,0.0005364519070865
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287125,10,0.0005364519070865
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8102863,9,0.0004828067163778
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7656537,9,0.0004828067163778
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart8287124,9,0.0004828067163778
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7745967,5,0.0002682259535432
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7606896,3,0.0001609355721259
heart_cell_atlas_subsampled,metadata_context,sample,HCAHeart7728605,1,5.364519070865297e-05
